time,Kyiv_33345,Boryspil_33347,Chornobyl_33231,Fastiv_33339,Byla_Tzerkva_33464,Baryshivka_33354,Yagotyn_33356,Myronivka_33466
2021-05-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2021-05-02 06:00:00,2.0,2.0,0.0,0.8,2.0,0.0,0.6,4.0
2021-05-02 18:00:00,0.3,0.0,0.0,2.0,0.8,0.0,1.0,2.0
2021-05-03 06:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 06:00:00,0.0,0.0,0.1,0.0,0.0,3.0,3.0,3.0
2021-05-06 18:00:00,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2021-05-07 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 18:00:00,6.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0
2021-05-08 06:00:00,10.0,13.0,5.0,9.0,12.0,4.0,4.0,8.0
2021-05-08 18:00:00,2.0,3.0,4.0,2.0,0.5,1.0,3.0,2.0
2021-05-09 06:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-05-09 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12 18:00:00,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
2021-05-13 06:00:00,0.0,0.0,5.0,0.0,0.0,0.3,0.0,0.0
2021-05-13 18:00:00,0.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0
2021-05-14 06:00:00,0.7,0.5,0.1,0.0,0.0,0.4,0.0,0.3
2021-05-14 18:00:00,0.0,0.4,0.0,0.0,0.0,0.4,0.0,1.0
2021-05-15 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7
2021-05-15 18:00:00,0.5,4.0,0.0,0.0,0.0,0.4,3.0,4.0
